assetId,employeeId,assetType,format,title,sourceSystem,lastModified
AST-EMP005-01,EMP005,presentation,pptx,Project update deck - EMP005,OneDrive,2025-01-07
AST-EMP005-02,EMP005,pdf,pdf,Process compliance document - EMP005,OneDrive,2025-01-08
AST-EMP005-03,EMP005,word,docx,Design specification - EMP005,OneDrive,2025-01-09
AST-EMP005-04,EMP005,text,txt,Shift handoff notes - EMP005,OneDrive,2025-01-10
AST-EMP005-05,EMP005,onenote,one,Lab observations notebook - EMP005,OneDrive,2025-01-11
AST-EMP005-06,EMP005,spreadsheet,xlsx,Vendor comparison - EMP005,OneDrive,2025-01-18
AST-EMP005-07,EMP005,spreadsheet-csv,csv,Department metrics export - EMP005,OneDrive,2025-02-05
AST-EMP005-08,EMP005,knowledge-note,md,Knowledge summary notes - EMP005,OneDrive,2025-03-05
AST-EMP006-01,EMP006,presentation,pptx,Project update deck - EMP006,OneDrive,2025-01-08
AST-EMP006-02,EMP006,pdf,pdf,Process compliance document - EMP006,OneDrive,2025-01-09
AST-EMP006-03,EMP006,word,docx,Design specification - EMP006,OneDrive,2025-01-10
AST-EMP006-04,EMP006,text,txt,Shift handoff notes - EMP006,OneDrive,2025-01-11
AST-EMP006-05,EMP006,onenote,one,Lab observations notebook - EMP006,OneDrive,2025-01-12
AST-EMP006-06,EMP006,spreadsheet,xlsx,Shift productivity report - EMP006,OneDrive,2025-01-19
AST-EMP006-07,EMP006,spreadsheet-csv,csv,Department metrics export - EMP006,OneDrive,2025-02-06
AST-EMP006-08,EMP006,knowledge-note,md,Knowledge summary notes - EMP006,OneDrive,2025-03-06
AST-EMP007-01,EMP007,presentation,pptx,Project update deck - EMP007,OneDrive,2025-01-09
AST-EMP007-02,EMP007,pdf,pdf,Process compliance document - EMP007,OneDrive,2025-01-10
AST-EMP007-03,EMP007,word,docx,Design specification - EMP007,OneDrive,2025-01-11
AST-EMP007-04,EMP007,text,txt,Shift handoff notes - EMP007,OneDrive,2025-01-12
AST-EMP007-05,EMP007,onenote,one,Lab observations notebook - EMP007,OneDrive,2025-01-13
AST-EMP007-06,EMP007,spreadsheet,xlsx,Experiment data log - EMP007,OneDrive,2025-01-20
AST-EMP007-07,EMP007,spreadsheet-csv,csv,Department metrics export - EMP007,OneDrive,2025-02-07
AST-EMP007-08,EMP007,knowledge-note,md,Knowledge summary notes - EMP007,OneDrive,2025-03-07
AST-EMP008-01,EMP008,presentation,pptx,Project update deck - EMP008,OneDrive,2025-01-10
AST-EMP008-02,EMP008,pdf,pdf,Process compliance document - EMP008,OneDrive,2025-01-11
AST-EMP008-03,EMP008,word,docx,Design specification - EMP008,OneDrive,2025-01-12
AST-EMP008-04,EMP008,text,txt,Shift handoff notes - EMP008,OneDrive,2025-01-13
AST-EMP008-05,EMP008,onenote,one,Lab observations notebook - EMP008,OneDrive,2025-01-14
AST-EMP008-06,EMP008,spreadsheet,xlsx,Project resource tracker - EMP008,OneDrive,2025-01-21
AST-EMP008-07,EMP008,spreadsheet-csv,csv,Department metrics export - EMP008,OneDrive,2025-02-08
AST-EMP008-08,EMP008,knowledge-note,md,Knowledge summary notes - EMP008,OneDrive,2025-03-08
AST-EMP009-01,EMP009,presentation,pptx,Project update deck - EMP009,OneDrive,2025-01-11
AST-EMP009-02,EMP009,pdf,pdf,Process compliance document - EMP009,OneDrive,2025-01-12
AST-EMP009-03,EMP009,word,docx,Design specification - EMP009,OneDrive,2025-01-13
AST-EMP009-04,EMP009,text,txt,Shift handoff notes - EMP009,OneDrive,2025-01-14
AST-EMP009-05,EMP009,onenote,one,Lab observations notebook - EMP009,OneDrive,2025-01-15
AST-EMP009-06,EMP009,spreadsheet,xlsx,Equipment inventory tracker - EMP009,OneDrive,2025-01-22
AST-EMP009-07,EMP009,spreadsheet-csv,csv,Department metrics export - EMP009,OneDrive,2025-02-09
AST-EMP009-08,EMP009,knowledge-note,md,Knowledge summary notes - EMP009,OneDrive,2025-03-09
AST-EMP010-01,EMP010,presentation,pptx,Project update deck - EMP010,OneDrive,2025-01-12
AST-EMP010-02,EMP010,pdf,pdf,Process compliance document - EMP010,OneDrive,2025-01-13
AST-EMP010-03,EMP010,word,docx,Design specification - EMP010,OneDrive,2025-01-14
AST-EMP010-04,EMP010,text,txt,Shift handoff notes - EMP010,OneDrive,2025-01-15
AST-EMP010-05,EMP010,onenote,one,Lab observations notebook - EMP010,OneDrive,2025-01-16
AST-EMP010-06,EMP010,spreadsheet,xlsx,Skills matrix - EMP010,OneDrive,2025-01-23
AST-EMP010-07,EMP010,spreadsheet-csv,csv,Department metrics export - EMP010,OneDrive,2025-02-10
AST-EMP010-08,EMP010,knowledge-note,md,Knowledge summary notes - EMP010,OneDrive,2025-03-10
AST-EMP011-01,EMP011,presentation,pptx,Project update deck - EMP011,OneDrive,2025-01-13
AST-EMP011-02,EMP011,pdf,pdf,Process compliance document - EMP011,OneDrive,2025-01-14
AST-EMP011-03,EMP011,word,docx,Design specification - EMP011,OneDrive,2025-01-15
AST-EMP011-04,EMP011,text,txt,Shift handoff notes - EMP011,OneDrive,2025-01-16
AST-EMP011-05,EMP011,onenote,one,Lab observations notebook - EMP011,OneDrive,2025-01-17
AST-EMP011-06,EMP011,spreadsheet,xlsx,System resource utilization - EMP011,OneDrive,2025-01-24
AST-EMP011-07,EMP011,spreadsheet-csv,csv,Department metrics export - EMP011,OneDrive,2025-02-11
AST-EMP011-08,EMP011,knowledge-note,md,Knowledge summary notes - EMP011,OneDrive,2025-03-11
AST-EMP012-01,EMP012,presentation,pptx,Project update deck - EMP012,OneDrive,2025-01-14
AST-EMP012-02,EMP012,pdf,pdf,Process compliance document - EMP012,OneDrive,2025-01-15
AST-EMP012-03,EMP012,word,docx,Design specification - EMP012,OneDrive,2025-01-16
AST-EMP012-04,EMP012,text,txt,Shift handoff notes - EMP012,OneDrive,2025-01-17
AST-EMP012-05,EMP012,onenote,one,Lab observations notebook - EMP012,OneDrive,2025-01-18
AST-EMP012-06,EMP012,spreadsheet,xlsx,Budget tracker - EMP012,OneDrive,2025-01-25
AST-EMP012-07,EMP012,spreadsheet-csv,csv,Department metrics export - EMP012,OneDrive,2025-02-12
AST-EMP012-08,EMP012,knowledge-note,md,Knowledge summary notes - EMP012,OneDrive,2025-03-12
AST-EMP013-01,EMP013,presentation,pptx,Project update deck - EMP013,OneDrive,2025-01-15
AST-EMP013-02,EMP013,pdf,pdf,Process compliance document - EMP013,OneDrive,2025-01-16
AST-EMP013-03,EMP013,word,docx,Design specification - EMP013,OneDrive,2025-01-17
AST-EMP013-04,EMP013,text,txt,Shift handoff notes - EMP013,OneDrive,2025-01-18
AST-EMP013-05,EMP013,onenote,one,Lab observations notebook - EMP013,OneDrive,2025-01-19
AST-EMP013-06,EMP013,spreadsheet,xlsx,Vendor comparison - EMP013,OneDrive,2025-01-26
AST-EMP013-07,EMP013,spreadsheet-csv,csv,Department metrics export - EMP013,OneDrive,2025-02-13
AST-EMP013-08,EMP013,knowledge-note,md,Knowledge summary notes - EMP013,OneDrive,2025-03-13
AST-EMP014-01,EMP014,presentation,pptx,Project update deck - EMP014,OneDrive,2025-01-16
AST-EMP014-02,EMP014,pdf,pdf,Process compliance document - EMP014,OneDrive,2025-01-17
AST-EMP014-03,EMP014,word,docx,Design specification - EMP014,OneDrive,2025-01-18
AST-EMP014-04,EMP014,text,txt,Shift handoff notes - EMP014,OneDrive,2025-01-19
AST-EMP014-05,EMP014,onenote,one,Lab observations notebook - EMP014,OneDrive,2025-01-20
AST-EMP014-06,EMP014,spreadsheet,xlsx,Shift productivity report - EMP014,OneDrive,2025-01-27
AST-EMP014-07,EMP014,spreadsheet-csv,csv,Department metrics export - EMP014,OneDrive,2025-02-14
AST-EMP014-08,EMP014,knowledge-note,md,Knowledge summary notes - EMP014,OneDrive,2025-03-14
AST-EMP015-01,EMP015,presentation,pptx,Project update deck - EMP015,OneDrive,2025-01-17
AST-EMP015-02,EMP015,pdf,pdf,Process compliance document - EMP015,OneDrive,2025-01-18
AST-EMP015-03,EMP015,word,docx,Design specification - EMP015,OneDrive,2025-01-19
AST-EMP015-04,EMP015,text,txt,Shift handoff notes - EMP015,OneDrive,2025-01-20
AST-EMP015-05,EMP015,onenote,one,Lab observations notebook - EMP015,OneDrive,2025-01-21
AST-EMP015-06,EMP015,spreadsheet,xlsx,Experiment data log - EMP015,OneDrive,2025-01-28
AST-EMP015-07,EMP015,spreadsheet-csv,csv,Department metrics export - EMP015,OneDrive,2025-02-15
AST-EMP015-08,EMP015,knowledge-note,md,Knowledge summary notes - EMP015,OneDrive,2025-03-15
AST-EMP016-01,EMP016,presentation,pptx,Project update deck - EMP016,OneDrive,2025-01-18
AST-EMP016-02,EMP016,pdf,pdf,Process compliance document - EMP016,OneDrive,2025-01-19
AST-EMP016-03,EMP016,word,docx,Design specification - EMP016,OneDrive,2025-01-20
AST-EMP016-04,EMP016,text,txt,Shift handoff notes - EMP016,OneDrive,2025-01-21
AST-EMP016-05,EMP016,onenote,one,Lab observations notebook - EMP016,OneDrive,2025-01-22
AST-EMP016-06,EMP016,spreadsheet,xlsx,Project resource tracker - EMP016,OneDrive,2025-01-29
AST-EMP016-07,EMP016,spreadsheet-csv,csv,Department metrics export - EMP016,OneDrive,2025-02-16
AST-EMP016-08,EMP016,knowledge-note,md,Knowledge summary notes - EMP016,OneDrive,2025-03-16
AST-EMP017-01,EMP017,presentation,pptx,Project update deck - EMP017,OneDrive,2025-01-19
AST-EMP017-02,EMP017,pdf,pdf,Process compliance document - EMP017,OneDrive,2025-01-20
AST-EMP017-03,EMP017,word,docx,Design specification - EMP017,OneDrive,2025-01-21
AST-EMP017-04,EMP017,text,txt,Shift handoff notes - EMP017,OneDrive,2025-01-22
AST-EMP017-05,EMP017,onenote,one,Lab observations notebook - EMP017,OneDrive,2025-01-23
AST-EMP017-06,EMP017,spreadsheet,xlsx,Equipment inventory tracker - EMP017,OneDrive,2025-01-30
AST-EMP017-07,EMP017,spreadsheet-csv,csv,Department metrics export - EMP017,OneDrive,2025-02-17
AST-EMP017-08,EMP017,knowledge-note,md,Knowledge summary notes - EMP017,OneDrive,2025-03-17
AST-EMP018-01,EMP018,presentation,pptx,Project update deck - EMP018,OneDrive,2025-01-20
AST-EMP018-02,EMP018,pdf,pdf,Process compliance document - EMP018,OneDrive,2025-01-21
AST-EMP018-03,EMP018,word,docx,Design specification - EMP018,OneDrive,2025-01-22
AST-EMP018-04,EMP018,text,txt,Shift handoff notes - EMP018,OneDrive,2025-01-23
AST-EMP018-05,EMP018,onenote,one,Lab observations notebook - EMP018,OneDrive,2025-01-24
AST-EMP018-06,EMP018,spreadsheet,xlsx,Skills matrix - EMP018,OneDrive,2025-01-31
AST-EMP018-07,EMP018,spreadsheet-csv,csv,Department metrics export - EMP018,OneDrive,2025-02-18
AST-EMP018-08,EMP018,knowledge-note,md,Knowledge summary notes - EMP018,OneDrive,2025-03-18
AST-EMP019-01,EMP019,presentation,pptx,Project update deck - EMP019,OneDrive,2025-01-21
AST-EMP019-02,EMP019,pdf,pdf,Process compliance document - EMP019,OneDrive,2025-01-22
AST-EMP019-03,EMP019,word,docx,Design specification - EMP019,OneDrive,2025-01-23
AST-EMP019-04,EMP019,text,txt,Shift handoff notes - EMP019,OneDrive,2025-01-24
AST-EMP019-05,EMP019,onenote,one,Lab observations notebook - EMP019,OneDrive,2025-01-25
AST-EMP019-06,EMP019,spreadsheet,xlsx,System resource utilization - EMP019,OneDrive,2025-02-01
AST-EMP019-07,EMP019,spreadsheet-csv,csv,Department metrics export - EMP019,OneDrive,2025-02-19
AST-EMP019-08,EMP019,knowledge-note,md,Knowledge summary notes - EMP019,OneDrive,2025-03-19
AST-EMP020-01,EMP020,presentation,pptx,Project update deck - EMP020,OneDrive,2025-01-22
AST-EMP020-02,EMP020,pdf,pdf,Process compliance document - EMP020,OneDrive,2025-01-23
AST-EMP020-03,EMP020,word,docx,Design specification - EMP020,OneDrive,2025-01-24
AST-EMP020-04,EMP020,text,txt,Shift handoff notes - EMP020,OneDrive,2025-01-25
AST-EMP020-05,EMP020,onenote,one,Lab observations notebook - EMP020,OneDrive,2025-01-26
AST-EMP020-06,EMP020,spreadsheet,xlsx,Budget tracker - EMP020,OneDrive,2025-02-02
AST-EMP020-07,EMP020,spreadsheet-csv,csv,Department metrics export - EMP020,OneDrive,2025-02-20
AST-EMP020-08,EMP020,knowledge-note,md,Knowledge summary notes - EMP020,OneDrive,2025-03-20
AST-EMP021-01,EMP021,presentation,pptx,Project update deck - EMP021,OneDrive,2025-01-23
AST-EMP021-02,EMP021,pdf,pdf,Process compliance document - EMP021,OneDrive,2025-01-24
AST-EMP021-03,EMP021,word,docx,Design specification - EMP021,OneDrive,2025-01-25
AST-EMP021-04,EMP021,text,txt,Shift handoff notes - EMP021,OneDrive,2025-01-26
AST-EMP021-05,EMP021,onenote,one,Lab observations notebook - EMP021,OneDrive,2025-01-27
AST-EMP021-06,EMP021,spreadsheet,xlsx,Vendor comparison - EMP021,OneDrive,2025-02-03
AST-EMP021-07,EMP021,spreadsheet-csv,csv,Department metrics export - EMP021,OneDrive,2025-02-21
AST-EMP021-08,EMP021,knowledge-note,md,Knowledge summary notes - EMP021,OneDrive,2025-03-21
AST-EMP022-01,EMP022,presentation,pptx,Project update deck - EMP022,OneDrive,2025-01-24
AST-EMP022-02,EMP022,pdf,pdf,Process compliance document - EMP022,OneDrive,2025-01-25
AST-EMP022-03,EMP022,word,docx,Design specification - EMP022,OneDrive,2025-01-26
AST-EMP022-04,EMP022,text,txt,Shift handoff notes - EMP022,OneDrive,2025-01-27
AST-EMP022-05,EMP022,onenote,one,Lab observations notebook - EMP022,OneDrive,2025-01-28
AST-EMP022-06,EMP022,spreadsheet,xlsx,Shift productivity report - EMP022,OneDrive,2025-02-04
AST-EMP022-07,EMP022,spreadsheet-csv,csv,Department metrics export - EMP022,OneDrive,2025-02-22
AST-EMP022-08,EMP022,knowledge-note,md,Knowledge summary notes - EMP022,OneDrive,2025-03-22
AST-EMP023-01,EMP023,presentation,pptx,Project update deck - EMP023,OneDrive,2025-01-25
AST-EMP023-02,EMP023,pdf,pdf,Process compliance document - EMP023,OneDrive,2025-01-26
AST-EMP023-03,EMP023,word,docx,Design specification - EMP023,OneDrive,2025-01-27
AST-EMP023-04,EMP023,text,txt,Shift handoff notes - EMP023,OneDrive,2025-01-28
AST-EMP023-05,EMP023,onenote,one,Lab observations notebook - EMP023,OneDrive,2025-01-29
AST-EMP023-06,EMP023,spreadsheet,xlsx,Experiment data log - EMP023,OneDrive,2025-02-05
AST-EMP023-07,EMP023,spreadsheet-csv,csv,Department metrics export - EMP023,OneDrive,2025-02-23
AST-EMP023-08,EMP023,knowledge-note,md,Knowledge summary notes - EMP023,OneDrive,2025-03-23
AST-EMP024-01,EMP024,presentation,pptx,Project update deck - EMP024,OneDrive,2025-01-26
AST-EMP024-02,EMP024,pdf,pdf,Process compliance document - EMP024,OneDrive,2025-01-27
AST-EMP024-03,EMP024,word,docx,Design specification - EMP024,OneDrive,2025-01-28
AST-EMP024-04,EMP024,text,txt,Shift handoff notes - EMP024,OneDrive,2025-01-29
AST-EMP024-05,EMP024,onenote,one,Lab observations notebook - EMP024,OneDrive,2025-01-30
AST-EMP024-06,EMP024,spreadsheet,xlsx,Project resource tracker - EMP024,OneDrive,2025-02-06
AST-EMP024-07,EMP024,spreadsheet-csv,csv,Department metrics export - EMP024,OneDrive,2025-02-24
AST-EMP024-08,EMP024,knowledge-note,md,Knowledge summary notes - EMP024,OneDrive,2025-03-24
AST-EMP025-01,EMP025,presentation,pptx,Project update deck - EMP025,OneDrive,2025-01-27
AST-EMP025-02,EMP025,pdf,pdf,Process compliance document - EMP025,OneDrive,2025-01-28
AST-EMP025-03,EMP025,word,docx,Design specification - EMP025,OneDrive,2025-01-29
AST-EMP025-04,EMP025,text,txt,Shift handoff notes - EMP025,OneDrive,2025-01-30
AST-EMP025-05,EMP025,onenote,one,Lab observations notebook - EMP025,OneDrive,2025-01-31
AST-EMP025-06,EMP025,spreadsheet,xlsx,Equipment inventory tracker - EMP025,OneDrive,2025-02-07
AST-EMP025-07,EMP025,spreadsheet-csv,csv,Department metrics export - EMP025,OneDrive,2025-02-25
AST-EMP025-08,EMP025,knowledge-note,md,Knowledge summary notes - EMP025,OneDrive,2025-03-25
AST-EMP026-01,EMP026,presentation,pptx,Project update deck - EMP026,OneDrive,2025-01-28
AST-EMP026-02,EMP026,pdf,pdf,Process compliance document - EMP026,OneDrive,2025-01-29
AST-EMP026-03,EMP026,word,docx,Design specification - EMP026,OneDrive,2025-01-30
AST-EMP026-04,EMP026,text,txt,Shift handoff notes - EMP026,OneDrive,2025-01-31
AST-EMP026-05,EMP026,onenote,one,Lab observations notebook - EMP026,OneDrive,2025-02-01
AST-EMP026-06,EMP026,spreadsheet,xlsx,Skills matrix - EMP026,OneDrive,2025-02-08
AST-EMP026-07,EMP026,spreadsheet-csv,csv,Department metrics export - EMP026,OneDrive,2025-02-26
AST-EMP026-08,EMP026,knowledge-note,md,Knowledge summary notes - EMP026,OneDrive,2025-03-26
AST-EMP027-01,EMP027,presentation,pptx,Project update deck - EMP027,OneDrive,2025-01-29
AST-EMP027-02,EMP027,pdf,pdf,Process compliance document - EMP027,OneDrive,2025-01-30
AST-EMP027-03,EMP027,word,docx,Design specification - EMP027,OneDrive,2025-01-31
AST-EMP027-04,EMP027,text,txt,Shift handoff notes - EMP027,OneDrive,2025-02-01
AST-EMP027-05,EMP027,onenote,one,Lab observations notebook - EMP027,OneDrive,2025-02-02
AST-EMP027-06,EMP027,spreadsheet,xlsx,System resource utilization - EMP027,OneDrive,2025-02-09
AST-EMP027-07,EMP027,spreadsheet-csv,csv,Department metrics export - EMP027,OneDrive,2025-02-27
AST-EMP027-08,EMP027,knowledge-note,md,Knowledge summary notes - EMP027,OneDrive,2025-03-27
AST-EMP028-01,EMP028,presentation,pptx,Project update deck - EMP028,OneDrive,2025-01-30
AST-EMP028-02,EMP028,pdf,pdf,Process compliance document - EMP028,OneDrive,2025-01-31
AST-EMP028-03,EMP028,word,docx,Design specification - EMP028,OneDrive,2025-02-01
AST-EMP028-04,EMP028,text,txt,Shift handoff notes - EMP028,OneDrive,2025-02-02
AST-EMP028-05,EMP028,onenote,one,Lab observations notebook - EMP028,OneDrive,2025-02-03
AST-EMP028-06,EMP028,spreadsheet,xlsx,Budget tracker - EMP028,OneDrive,2025-02-10
AST-EMP028-07,EMP028,spreadsheet-csv,csv,Department metrics export - EMP028,OneDrive,2025-02-28
AST-EMP028-08,EMP028,knowledge-note,md,Knowledge summary notes - EMP028,OneDrive,2025-03-28
AST-EMP029-01,EMP029,presentation,pptx,Project update deck - EMP029,OneDrive,2025-01-31
AST-EMP029-02,EMP029,pdf,pdf,Process compliance document - EMP029,OneDrive,2025-02-01
AST-EMP029-03,EMP029,word,docx,Design specification - EMP029,OneDrive,2025-02-02
AST-EMP029-04,EMP029,text,txt,Shift handoff notes - EMP029,OneDrive,2025-02-03
AST-EMP029-05,EMP029,onenote,one,Lab observations notebook - EMP029,OneDrive,2025-02-04
AST-EMP029-06,EMP029,spreadsheet,xlsx,Vendor comparison - EMP029,OneDrive,2025-02-11
AST-EMP029-07,EMP029,spreadsheet-csv,csv,Department metrics export - EMP029,OneDrive,2025-02-01
AST-EMP029-08,EMP029,knowledge-note,md,Knowledge summary notes - EMP029,OneDrive,2025-03-01
AST-EMP030-01,EMP030,presentation,pptx,Project update deck - EMP030,OneDrive,2025-02-01
AST-EMP030-02,EMP030,pdf,pdf,Process compliance document - EMP030,OneDrive,2025-02-02
AST-EMP030-03,EMP030,word,docx,Design specification - EMP030,OneDrive,2025-02-03
AST-EMP030-04,EMP030,text,txt,Shift handoff notes - EMP030,OneDrive,2025-02-04
AST-EMP030-05,EMP030,onenote,one,Lab observations notebook - EMP030,OneDrive,2025-02-05
AST-EMP030-06,EMP030,spreadsheet,xlsx,Shift productivity report - EMP030,OneDrive,2025-02-12
AST-EMP030-07,EMP030,spreadsheet-csv,csv,Department metrics export - EMP030,OneDrive,2025-02-02
AST-EMP030-08,EMP030,knowledge-note,md,Knowledge summary notes - EMP030,OneDrive,2025-03-02
AST-EMP031-01,EMP031,presentation,pptx,Project update deck - EMP031,OneDrive,2025-02-02
AST-EMP031-02,EMP031,pdf,pdf,Process compliance document - EMP031,OneDrive,2025-02-03
AST-EMP031-03,EMP031,word,docx,Design specification - EMP031,OneDrive,2025-02-04
AST-EMP031-04,EMP031,text,txt,Shift handoff notes - EMP031,OneDrive,2025-02-05
AST-EMP031-05,EMP031,onenote,one,Lab observations notebook - EMP031,OneDrive,2025-02-06
AST-EMP031-06,EMP031,spreadsheet,xlsx,Experiment data log - EMP031,OneDrive,2025-02-13
AST-EMP031-07,EMP031,spreadsheet-csv,csv,Department metrics export - EMP031,OneDrive,2025-02-03
AST-EMP031-08,EMP031,knowledge-note,md,Knowledge summary notes - EMP031,OneDrive,2025-03-03
AST-EMP032-01,EMP032,presentation,pptx,Project update deck - EMP032,OneDrive,2025-02-03
AST-EMP032-02,EMP032,pdf,pdf,Process compliance document - EMP032,OneDrive,2025-02-04
AST-EMP032-03,EMP032,word,docx,Design specification - EMP032,OneDrive,2025-02-05
AST-EMP032-04,EMP032,text,txt,Shift handoff notes - EMP032,OneDrive,2025-02-06
AST-EMP032-05,EMP032,onenote,one,Lab observations notebook - EMP032,OneDrive,2025-02-07
AST-EMP032-06,EMP032,spreadsheet,xlsx,Project resource tracker - EMP032,OneDrive,2025-02-14
AST-EMP032-07,EMP032,spreadsheet-csv,csv,Department metrics export - EMP032,OneDrive,2025-02-04
AST-EMP032-08,EMP032,knowledge-note,md,Knowledge summary notes - EMP032,OneDrive,2025-03-04
AST-EMP033-01,EMP033,presentation,pptx,Project update deck - EMP033,OneDrive,2025-02-04
AST-EMP033-02,EMP033,pdf,pdf,Process compliance document - EMP033,OneDrive,2025-02-05
AST-EMP033-03,EMP033,word,docx,Design specification - EMP033,OneDrive,2025-02-06
AST-EMP033-04,EMP033,text,txt,Shift handoff notes - EMP033,OneDrive,2025-02-07
AST-EMP033-05,EMP033,onenote,one,Lab observations notebook - EMP033,OneDrive,2025-02-08
AST-EMP033-06,EMP033,spreadsheet,xlsx,Equipment inventory tracker - EMP033,OneDrive,2025-02-15
AST-EMP033-07,EMP033,spreadsheet-csv,csv,Department metrics export - EMP033,OneDrive,2025-02-05
AST-EMP033-08,EMP033,knowledge-note,md,Knowledge summary notes - EMP033,OneDrive,2025-03-05
AST-EMP034-01,EMP034,presentation,pptx,Project update deck - EMP034,OneDrive,2025-02-05
AST-EMP034-02,EMP034,pdf,pdf,Process compliance document - EMP034,OneDrive,2025-02-06
AST-EMP034-03,EMP034,word,docx,Design specification - EMP034,OneDrive,2025-02-07
AST-EMP034-04,EMP034,text,txt,Shift handoff notes - EMP034,OneDrive,2025-02-08
AST-EMP034-05,EMP034,onenote,one,Lab observations notebook - EMP034,OneDrive,2025-02-09
AST-EMP034-06,EMP034,spreadsheet,xlsx,Skills matrix - EMP034,OneDrive,2025-02-16
AST-EMP034-07,EMP034,spreadsheet-csv,csv,Department metrics export - EMP034,OneDrive,2025-02-06
AST-EMP034-08,EMP034,knowledge-note,md,Knowledge summary notes - EMP034,OneDrive,2025-03-06
AST-EMP035-01,EMP035,presentation,pptx,Project update deck - EMP035,OneDrive,2025-02-06
AST-EMP035-02,EMP035,pdf,pdf,Process compliance document - EMP035,OneDrive,2025-02-07
AST-EMP035-03,EMP035,word,docx,Design specification - EMP035,OneDrive,2025-02-08
AST-EMP035-04,EMP035,text,txt,Shift handoff notes - EMP035,OneDrive,2025-02-09
AST-EMP035-05,EMP035,onenote,one,Lab observations notebook - EMP035,OneDrive,2025-02-10
AST-EMP035-06,EMP035,spreadsheet,xlsx,System resource utilization - EMP035,OneDrive,2025-02-17
AST-EMP035-07,EMP035,spreadsheet-csv,csv,Department metrics export - EMP035,OneDrive,2025-02-07
AST-EMP035-08,EMP035,knowledge-note,md,Knowledge summary notes - EMP035,OneDrive,2025-03-07
AST-EMP036-01,EMP036,presentation,pptx,Project update deck - EMP036,OneDrive,2025-02-07
AST-EMP036-02,EMP036,pdf,pdf,Process compliance document - EMP036,OneDrive,2025-02-08
AST-EMP036-03,EMP036,word,docx,Design specification - EMP036,OneDrive,2025-02-09
AST-EMP036-04,EMP036,text,txt,Shift handoff notes - EMP036,OneDrive,2025-02-10
AST-EMP036-05,EMP036,onenote,one,Lab observations notebook - EMP036,OneDrive,2025-02-11
